Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019/03/31,06,CA,06001,Alameda County,379816,1291513,6491696,1853244,1662523,746121,847335,995467,286852,57138,27236,8244,7536,06-06001-20190331,13,3
County,2019/04/01,06,CA,06075,San Francisco County,274667,606882,3230640,1213044,842083,390427,447704,220495,85223,16689,6688,3519,4768,06-06075-20190401,13,4
County,2019/04/01,06,CA,06081,San Mateo County,165634,600939,3362095,1020821,865587,357370,474347,488451,115102,20435,12259,2913,4810,06-06081-20190401,13,4
County,2019/04/01,06,CA,06085,Santa Clara County,404858,1522994,8084702,2387462,1976813,845758,1329849,1088126,347934,71928,21241,7425,8166,06-06085-20190401,13,4
County,2019/04/01,06,CA,06001,Alameda County,377766,1293563,6547587,1987742,1571669,696665,843671,1060074,300592,48765,22734,7675,8000,06-06001-20190401,13,4
County,2019/04/02,06,CA,06001,Alameda County,370904,1300425,6345261,1899833,1552822,666179,830299,1033268,284448,44153,18794,6089,9376,06-06001-20190402,13,4
County,2019/04/02,06,CA,06085,Santa Clara County,397453,1530399,7819996,2261025,1956666,833101,1311102,1060068,305993,63746,15872,6299,6124,06-06085-20190402,13,4
County,2019/04/02,06,CA,06081,San Mateo County,161047,605526,3232733,992276,848440,334974,463937,454645,104343,18144,10281,2261,3432,06-06081-20190402,13,4
County,2019/04/02,06,CA,06075,San Francisco County,275498,606051,3078729,1139720,826168,376318,422447,203391,84329,16077,5079,2442,2758,06-06075-20190402,13,4
County,2019/04/03,06,CA,06001,Alameda County,376380,1294949,6658384,1953990,1662104,723046,893184,1071838,281933,42622,17647,4972,7048,06-06001-20190403,13,4
County,2019/04/03,06,CA,06075,San Francisco County,276017,605532,3145070,1119668,852674,405028,466298,198344,79120,14869,4738,2061,2270,06-06075-20190403,13,4
County,2019/04/03,06,CA,06081,San Mateo County,163558,603015,3393486,1023724,896010,363690,498931,481099,97145,18368,9060,2109,3350,06-06081-20190403,13,4
County,2019/04/03,06,CA,06085,Santa Clara County,404491,1523361,8284995,2398506,2082701,889629,1414324,1115459,304944,54669,15080,4504,5179,06-06085-20190403,13,4
County,2019/04/04,06,CA,06001,Alameda County,372697,1298632,6756982,1975454,1702835,728479,902755,1097958,274191,41808,17620,5169,10713,06-06001-20190404,13,4
County,2019/04/04,06,CA,06075,San Francisco County,274892,606657,3259906,1185867,878312,419697,464115,203904,83978,13798,4916,2224,3095,06-06075-20190404,13,4
County,2019/04/04,06,CA,06081,San Mateo County,164585,601988,3416860,991467,905689,373334,503731,499808,105326,20395,11247,2244,3619,06-06081-20190404,13,4
County,2019/04/04,06,CA,06085,Santa Clara County,405361,1522491,8583611,2424654,2185676,942674,1481377,1168201,299282,54061,16353,4846,6487,06-06085-20190404,13,4
County,2019/04/05,06,CA,06075,San Francisco County,271077,610472,3246131,1173685,867642,420303,466072,214267,74176,14927,8394,2361,4304,06-06075-20190405,13,4
County,2019/04/05,06,CA,06081,San Mateo County,161886,604687,3520969,1046532,905756,375372,512405,533303,107461,20512,13090,2831,3707,06-06081-20190405,13,4
County,2019/04/05,06,CA,06085,Santa Clara County,399206,1528646,8788817,2500411,2241844,964843,1497299,1176832,314988,57329,21957,6678,6636,06-06085-20190405,13,4
County,2019/04/05,06,CA,06001,Alameda County,371111,1300218,6929184,2014816,1760279,759176,942822,1091977,273727,48340,24592,5666,7789,06-06001-20190405,13,4
County,2019/04/06,06,CA,06001,Alameda County,391144,1280185,6815282,1968976,1814936,755165,880774,1034522,268463,57910,21490,5218,7828,06-06001-20190406,13,4
County,2019/04/06,06,CA,06075,San Francisco County,278974,602575,3331289,1177375,909832,424058,484567,231113,71795,19395,7405,2265,3484,06-06075-20190406,13,4
County,2019/04/06,06,CA,06081,San Mateo County,170982,595591,3433608,979648,947655,381333,480552,474739,119102,28478,16193,2614,3294,06-06081-20190406,13,4
County,2019/04/06,06,CA,06085,Santa Clara County,418283,1509569,8455339,2405023,2180084,956029,1426126,1054575,323864,72240,25494,6342,5562,06-06085-20190406,13,4
County,2019/04/07,06,CA,06075,San Francisco County,276968,604581,3226921,1176905,869920,394420,463031,219808,66541,20000,9781,2385,4130,06-06075-20190407,14,4
County,2019/04/07,06,CA,06081,San Mateo County,166022,600551,3259216,949540,869416,354192,465871,449096,113334,29593,20454,3363,4357,06-06081-20190407,14,4
County,2019/04/07,06,CA,06085,Santa Clara County,415831,1512021,8279962,2431581,2097098,926775,1378769,1001051,326006,73994,31359,7077,6252,06-06085-20190407,14,4
County,2019/04/07,06,CA,06001,Alameda County,394161,1277168,6719804,1994388,1793343,743454,873647,955988,257043,59418,29883,5902,6738,06-06001-20190407,14,4
County,2019/04/08,06,CA,06075,San Francisco County,277565,603984,3040997,1096548,796455,390201,445451,201884,80848,15939,5655,2884,5132,06-06075-20190408,14,4
County,2019/04/08,06,CA,06081,San Mateo County,161145,605428,3354058,1005770,869905,358731,484538,486947,105969,19848,13181,3469,5700,06-06081-20190408,14,4
County,2019/04/08,06,CA,06085,Santa Clara County,404196,1523656,8089634,2300986,2000657,844600,1384912,1145013,314841,61429,20859,8187,8150,06-06085-20190408,14,4
County,2019/04/08,06,CA,06001,Alameda County,379884,1291445,6634108,1940709,1682361,695944,892246,1064436,282215,43586,17722,6427,8462,06-06001-20190408,14,4
County,2019/04/09,06,CA,06001,Alameda County,370579,1300750,6725966,2004420,1711053,690165,897028,1074903,281200,38345,16904,4992,6956,06-06001-20190409,14,4
County,2019/04/09,06,CA,06085,Santa Clara County,396217,1531635,8218210,2395166,2019983,861003,1402522,1147755,309631,55215,14462,5526,6947,06-06085-20190409,14,4
County,2019/04/09,06,CA,06081,San Mateo County,157222,609351,3343870,997551,874429,353393,496340,481164,106589,17209,9707,2579,4909,06-06081-20190409,14,4
County,2019/04/09,06,CA,06075,San Francisco County,271862,609687,3061499,1142553,788669,377441,444548,200434,83203,13542,4465,1975,4669,06-06075-20190409,14,4
County,2019/04/10,06,CA,06001,Alameda County,374892,1296437,7158338,2149231,1843166,750284,947073,1137286,267123,38516,15907,3803,5949,06-06001-20190410,14,4
County,2019/04/10,06,CA,06075,San Francisco County,277532,604017,3317733,1220233,895484,414859,483955,201964,80226,12006,3491,1719,3796,06-06075-20190410,14,4
County,2019/04/10,06,CA,06081,San Mateo County,160671,605902,3566103,1077618,937942,381831,515243,517348,104184,16455,8389,2285,4808,06-06081-20190410,14,4
